web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752100438-40","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Caleçon coton","12 000CFA","","https://images.coinafrique.com/thumb_4866823_uploaded_image1_1722295788.jpg"
"1752100438-41","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste coton","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-42","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste coton","6 500CFA","","https://images.coinafrique.com/thumb_4866827_uploaded_image1_1722295941.jpg"
"1752100438-43","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1752100438-44","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon homme","Prix sur demande","","https://images.coinafrique.com/thumb_4861246_uploaded_image1_1721949498.jpg"
"1752100438-45","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Cargo","8 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-46","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Cargo","8 000CFA","","https://images.coinafrique.com/thumb_4861234_uploaded_image1_1721949032.jpg"
"1752100438-47","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Complet homme","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752100438-48","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Complet homme","Prix sur demande","","https://images.coinafrique.com/thumb_4908659_uploaded_image2_1724446655.jpeg"
"1752100438-49","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Manteau de pluie","5 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-50","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Manteau de pluie","5 000CFA","","https://images.coinafrique.com/thumb_4859899_uploaded_image1_1721894376.jpg"
"1752100438-51","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","5 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-52","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","5 500CFA","","https://images.coinafrique.com/thumb_4856037_uploaded_image1_1721690942.jpg"
"1752100438-53","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-54","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","6 500CFA","","https://images.coinafrique.com/thumb_4856042_uploaded_image1_1721690999.jpg"
"1752100438-55","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Kaki","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-56","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Kaki","7 000CFA","","https://images.coinafrique.com/thumb_4856028_uploaded_image1_1721690696.jpg"
"1752100438-57","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Tenue de travail","15 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752100438-58","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Tenue de travail","15 000CFA","","https://images.coinafrique.com/thumb_4903776_uploaded_image1_1724185999.jpg"
"1752100438-59","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki homme","8 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-60","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki homme","8 000CFA","","https://images.coinafrique.com/thumb_4854358_uploaded_image1_1721606556.jpg"
"1752100438-61","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki homme","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-62","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki homme","7 000CFA","","https://images.coinafrique.com/thumb_4854356_uploaded_image1_1721606492.jpg"
"1752100438-63","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-64","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","6 500CFA","","https://images.coinafrique.com/thumb_4854329_uploaded_image1_1721605606.jpg"
"1752100438-65","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-66","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","6 500CFA","","https://images.coinafrique.com/thumb_4854327_uploaded_image1_1721605526.jpg"
"1752100438-67","https://sn.coinafrique.com/categorie/vetements-homme?page=10","T-shirts","10 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752100438-68","https://sn.coinafrique.com/categorie/vetements-homme?page=10","T-shirts","10 000CFA","","https://images.coinafrique.com/thumb_4900205_uploaded_image1_1723997828.jpg"
"1752100438-69","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Veste imperméable protège pluie","5 000CFA","Dakar, Sénégal",""
"1752100438-70","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Veste imperméable protège pluie","5 000CFA","","https://images.coinafrique.com/thumb_4858852_uploaded_image1_1721832545.jpg"
"1752100438-71","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble imperméable protège pluie","8 000CFA","Dakar, Sénégal",""
"1752100438-72","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble imperméable protège pluie","8 000CFA","","https://images.coinafrique.com/thumb_4858848_uploaded_image1_1721832361.jpg"
"1752100438-73","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short bleu Kiabi Homme","5 000CFA","Medina, Dakar, Sénégal",""
"1752100438-74","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short bleu Kiabi Homme","5 000CFA","","https://images.coinafrique.com/thumb_4900066_uploaded_image1_1723992857.jpg"
"1752100438-75","https://sn.coinafrique.com/categorie/vetements-homme?page=10","G-star raw 3301  jean slim vert homme","11 000CFA","Medina, Dakar, Sénégal",""
"1752100438-76","https://sn.coinafrique.com/categorie/vetements-homme?page=10","G-star raw 3301  jean slim vert homme","11 000CFA","","https://images.coinafrique.com/thumb_4900063_uploaded_image1_1723992653.jpg"
"1752100438-77","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Cargo","8 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-78","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Cargo","8 000CFA","","https://images.coinafrique.com/thumb_4851466_uploaded_image1_1721415829.jpg"
"1752100438-79","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble débardeur","5 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-80","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble débardeur","5 000CFA","","https://images.coinafrique.com/thumb_4853568_uploaded_image1_1721561857.jpg"
"1752100438-81","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Débardeur Big size","6 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-82","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Débardeur Big size","6 000CFA","","https://images.coinafrique.com/thumb_4853565_uploaded_image1_1721561723.jpg"
"1752100438-83","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short plage","3 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-84","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short plage","3 000CFA","","https://images.coinafrique.com/thumb_4853563_uploaded_image1_1721561571.jpg"
"1752100438-85","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short coton","3 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-86","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short coton","3 000CFA","","https://images.coinafrique.com/thumb_4853562_uploaded_image1_1721561465.jpg"
"1752100438-87","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-88","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","","https://images.coinafrique.com/thumb_4849689_uploaded_image1_1721327599.jpg"
"1752100438-89","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-90","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","7 000CFA","","https://images.coinafrique.com/thumb_4849695_uploaded_image1_1721327766.jpg"
"1752100438-91","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-92","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","","https://images.coinafrique.com/thumb_4849696_uploaded_image1_1721327823.jpg"
"1752100438-93","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-94","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","11 000CFA","","https://images.coinafrique.com/thumb_4849686_uploaded_image1_1721327455.jpg"
"1752100438-95","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","5 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-96","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste homme","5 000CFA","","https://images.coinafrique.com/thumb_4849672_uploaded_image1_1721327090.jpg"
"1752100438-97","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short Cargo homme","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-98","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short Cargo homme","6 500CFA","","https://images.coinafrique.com/thumb_4849678_uploaded_image1_1721327195.jpg"
"1752100438-99","https://sn.coinafrique.com/categorie/vetements-homme?page=10","T-shirts en coton","5 000CFA","Medina, Dakar, Sénégal",""
"1752100438-100","https://sn.coinafrique.com/categorie/vetements-homme?page=10","T-shirts en coton","5 000CFA","","https://images.coinafrique.com/thumb_4896764_uploaded_image1_1723777873.jpg"
"1752100438-101","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Jeans homme","7 000CFA","Mbao, Dakar, Sénégal",""
"1752100438-102","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Jeans homme","7 000CFA","","https://images.coinafrique.com/thumb_4896573_uploaded_image1_1723761459.jpg"
