web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752096583-86","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","4 000CFA","","https://images.coinafrique.com/thumb_792468_uploaded_image1_1564410485.85.png"
"1752096583-87","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal",""
"1752096583-88","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_792099_uploaded_image1_1564403460.51.png"
"1752096583-89","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal",""
"1752096583-90","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_792044_uploaded_image1_1564402826.19.png"
"1752096583-91","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal",""
"1752096583-92","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_792041_uploaded_image1_1564402795.9.png"
"1752096583-93","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal",""
"1752096583-94","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_792038_uploaded_image1_1564402766.76.png"
"1752096583-95","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Claquettes  enfants","Prix sur demande","Sénégal",""
"1752096583-96","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Claquettes  enfants","Prix sur demande","","https://images.coinafrique.com/thumb_781661_uploaded_image1_1564075024.17.png"
"1752096583-97","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal",""
"1752096583-98","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1752096583-99","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal",""
"1752096583-100","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_750016_uploaded_image1_1563279645.35.png"
