types_habits,prix,adresse,image_lien-src
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4973154_uploaded_image1_1727887242.jpg
Chaussures homme,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4971465_uploaded_image1_1727817450.jpg
Chaussures homme,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4971011_uploaded_image1_1727802082.jpg
Chaussures,15 000CFA,"Sicap Liberté, Dakar, Sénégal",Rien
Chaussures,15 000CFA,Rien,https://images.coinafrique.com/thumb_4970176_uploaded_image1_1727781060.jpg
Chaussures,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4970088_uploaded_image1_1727778322.jpg
Chaussures de sport,12 000CFA,"Dakar, Sénégal",Rien
Chaussures de sport,12 000CFA,Rien,https://images.coinafrique.com/thumb_4969844_uploaded_image1_1727771604.jpg
Mocassins en daim,11 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Mocassins en daim,11 000CFA,Rien,https://images.coinafrique.com/thumb_4969150_uploaded_image3_1727725266.jpeg
Chaussures en cuir,18 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Chaussures en cuir,18 000CFA,Rien,https://images.coinafrique.com/thumb_4967207_uploaded_image2_1727622657.jpeg
Sabots en cuir,13 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Sabots en cuir,13 000CFA,Rien,https://images.coinafrique.com/thumb_4967175_uploaded_image3_1727621292.jpeg
Baskets Nike dunk low,25 000CFA,"Yoff, Dakar, Sénégal",Rien
Baskets Nike dunk low,25 000CFA,Rien,https://images.coinafrique.com/thumb_4965599_uploaded_image1_1727485372.jpg
Baskets Adidas Campus,25 000CFA,"Dakar, Sénégal",Rien
Baskets Adidas Campus,25 000CFA,Rien,https://images.coinafrique.com/thumb_4963799_uploaded_image1_1727380149.jpg
Chaussures Unisexe,14 500CFA,"Dakar, Sénégal",Rien
Chaussures Unisexe,14 500CFA,Rien,https://images.coinafrique.com/thumb_4962490_uploaded_image1_1727309675.jpg
Baskets Airf orce 1,15 000CFA,"Parcelle Assainies, Dakar, Sénégal",Rien
Baskets Airf orce 1,15 000CFA,Rien,https://images.coinafrique.com/thumb_4961177_uploaded_image1_1727260953.jpg
Baskets homme,20 000CFA,"Parcelle Assainies, Dakar, Sénégal",Rien
Baskets homme,20 000CFA,Rien,https://images.coinafrique.com/thumb_4961175_uploaded_image1_1727260886.jpg
Chaussures homme,Prix sur demande,"Diamalaye 1, Dakar, Sénégal",Rien
Chaussures homme,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4958311_uploaded_image1_1727115890.jpg
Baskets Feiyue,12 000CFA,"Dakar, Sénégal",Rien
Baskets Feiyue,12 000CFA,Rien,https://images.coinafrique.com/thumb_4958017_uploaded_image1_1727105850.jpg
Sandales Yeezy,7 000CFA,"Point E, Dakar, Sénégal",Rien
Sandales Yeezy,7 000CFA,Rien,https://images.coinafrique.com/thumb_4956296_uploaded_image1_1727018894.jpg
